PLAYER,PUTTING FROM - 10-15'_ROUNDS,PUTTING FROM - 10-15'_% MADE,PUTTING FROM - 10-15'_ATTEMPTS,PUTTING FROM - 10-15'_PUTTS_MADE
Tommy Fleetwood,40,40.85,71,29
Daniel Berger,64,40.67,150,61
Joseph Bramlett,57,40.15,132,53
Rhein Gibson,54,39.76,83,33
Ian Poulter,48,39.60,101,40
Arjun Atwal,35,39.29,56,22
Kevin Na,71,39.07,151,59
Brandon Hagy,50,38.89,108,42
Dominic Bozzelli,38,38.71,62,24
Patrick Rodgers,95,38.34,193,74
Jordan Spieth,62,38.33,120,46
Nick Watney,46,38.32,107,41
Keith Mitchell,64,38.24,136,52
Michael Gellerman,46,38.14,97,37
Peter Uihlein,47,37.97,79,30
Webb Simpson,52,37.78,135,51
Zach Johnson,61,37.42,155,58
Sebastian Cappelen,55,37.04,81,30
Mackenzie Hughes,70,37.04,162,60
Kevin Kisner,73,36.59,164,60
Austin Cook,64,36.50,137,50
Patrick Reed,74,36.46,181,66
Mark Hubbard,86,36.08,194,70
Jason Day,53,36.04,111,40
Danny Lee,69,35.71,140,50
Cameron Champ,70,35.67,171,61
Alex Noren,60,35.58,104,37
J.T. Poston,78,35.33,167,59
Lanto Griffin,96,35.19,216,76
Richy Werenski,60,35.16,128,45
Shane Lowry,44,35.00,100,35
Marc Leishman,61,35.00,120,42
Collin Morikawa,80,34.76,187,65
Wyndham Clark,65,34.71,121,42
Russell Knox,67,34.71,121,42
Sepp Straka,70,34.36,163,56
Matt Kuchar,56,34.35,131,45
Max Homa,70,34.27,143,49
Cameron Percy,49,34.18,79,27
Rory Sabbatini,66,34.15,123,42
Abraham Ancer,74,34.13,126,43
Beau Hossler,71,34.11,129,44
Danny Willett,40,34.02,97,33
Brian Harman,78,34.00,200,68
J.J. Spaun,62,33.82,136,46
Brendan Steele,68,33.77,151,51
Si Woo Kim,78,33.71,175,59
Justin Rose,38,33.68,95,32
Brian Stuard,83,33.53,173,58
Adam Hadwin,65,33.33,135,45
Matt Fitzpatrick,54,33.33,132,44
Scottie Scheffler,82,33.14,172,57
Byeong Hun An,75,33.14,172,57
Patton Kizzire,55,33.10,142,47
Pat Perez,59,33.03,109,36
Kevin Chappell,41,33.01,103,34
Sungjae Im,94,33.01,206,68
Mark Anderson,51,32.99,97,32
Denny McCarthy,81,32.93,164,54
Gary Woodland,62,32.89,152,50
Nelson Ledesma,42,32.81,64,21
Adam Schenk,78,32.73,165,54
Cameron Smith,64,32.64,144,47
Scott Harrington,68,32.64,144,47
Aaron Baddeley,49,32.61,92,30
Andrew Putnam,46,32.58,89,29
Dylan Frittelli,82,32.53,166,54
Bubba Watson,66,32.52,163,53
Chez Reavie,77,32.52,163,53
Xinjun Zhang,77,32.43,148,48
Charley Hoffman,63,32.31,130,42
Billy Horschel,79,32.26,155,50
Jim Herman,60,32.19,146,47
