PLAYER,PUTTING FROM 5-10'_ROUNDS,PUTTING FROM 5-10'_%,PUTTING FROM 5-10'_ATTEMPTS,PUTTING FROM 5-10'_PUTTS_MADE
Bryson DeChambeau,62,67.66,235,159
J.T. Poston,78,65.40,237,155
Matt Fitzpatrick,54,64.97,177,115
Andrew Putnam,46,64.96,137,89
Denny McCarthy,81,64.75,244,158
Bronson Burgoon,55,64.47,197,127
Kevin Na,71,64.31,269,173
Daniel Berger,64,64.26,235,151
Abraham Ancer,74,64.25,221,142
Xander Schauffele,70,63.64,253,161
Mackenzie Hughes,70,63.64,231,147
Ian Poulter,48,63.13,160,101
Harris English,76,62.67,292,183
Louis Oosthuizen,48,62.50,176,110
Matt Kuchar,56,62.43,181,113
Patrick Rodgers,95,62.38,303,189
Kevin Kisner,73,61.97,213,132
Brandt Snedeker,53,61.50,200,123
Charley Hoffman,63,61.43,223,137
Adam Scott,38,61.11,108,66
Kris Ventura,48,61.06,113,69
Adam Hadwin,65,60.95,210,128
Patrick Reed,74,60.70,257,156
Anirban Lahiri,35,60.67,89,54
Sam Burns,60,60.66,244,148
Troy Merritt,72,60.55,218,132
Rickie Fowler,44,60.45,177,107
Cameron Tringale,63,60.40,202,122
Zach Johnson,61,60.19,211,127
Lanto Griffin,96,60.18,329,198
Tom Hoge,74,60.14,281,169
Sebastián Muñoz,84,60.11,361,217
Rory Sabbatini,66,60.00,205,123
Nate Lashley,52,60.00,195,117
Aaron Baddeley,49,59.87,152,91
Talor Gooch,83,59.87,299,179
Sam Ryder,74,59.83,229,137
Maverick McNealy,80,59.75,241,144
Kevin Chappell,41,59.68,124,74
Tyrrell Hatton,42,59.56,136,81
Mark Hubbard,86,59.54,304,181
Jon Rahm,58,59.52,210,125
Wyndham Clark,65,59.42,207,123
Zac Blair,70,59.41,202,120
Peter Malnati,61,59.38,192,114
Stewart Cink,51,59.36,187,111
Webb Simpson,52,59.36,219,130
Brendon Todd,86,59.25,319,189
Ben Taylor,44,59.13,115,68
Ryan Moore,48,59.12,137,81
Patton Kizzire,55,59.06,171,101
Beau Hossler,71,59.04,188,111
Alex Noren,60,58.96,173,102
Viktor Hovland,74,58.96,251,148
Adam Long,88,58.78,279,164
Bud Cauley,65,58.78,245,144
Ryan Brehm,52,58.73,126,74
Collin Morikawa,80,58.72,298,175
Chase Seiffert,56,58.71,155,91
Henrik Norlander,74,58.65,237,139
Matthew Wolff,74,58.63,249,146
Tyler Duncan,83,58.44,308,180
Michael Thompson,62,58.41,226,132
Kevin Streelman,73,58.41,226,132
Adam Schenk,78,58.37,221,129
K.H. Lee,76,58.33,240,140
Bo Hoag,71,58.29,199,116
Lucas Glover,67,58.21,201,117
