PLAYER,PUTTING FROM INSIDE INSIDE 5'_ROUNDS,PUTTING FROM INSIDE INSIDE 5'_%,PUTTING FROM INSIDE INSIDE 5'_ATTEMPTS,PUTTING FROM INSIDE INSIDE 5'_PUTTS_MADE
Doug Ghim,44,98.76,404,399
Phil Mickelson,51,98.53,544,536
Jon Rahm,58,98.51,806,794
Tommy Fleetwood,40,98.46,390,384
Brian Harman,78,98.20,"1,002",984
Max Homa,70,98.16,816,801
Brice Garnett,58,98.15,647,635
Troy Merritt,72,98.14,752,738
Andrew Putnam,46,98.14,431,423
Xander Schauffele,70,97.99,844,827
Matt Kuchar,56,97.96,687,673
Billy Horschel,79,97.94,824,807
Denny McCarthy,81,97.87,891,872
Chase Seiffert,56,97.82,504,493
Matt Fitzpatrick,54,97.80,592,579
Adam Schenk,78,97.80,773,756
Cameron Smith,64,97.80,774,757
Danny Willett,40,97.79,453,443
Wyndham Clark,65,97.78,632,618
Bryson DeChambeau,62,97.75,845,826
Bo Hoag,71,97.72,702,686
Scott Stallings,71,97.70,740,723
Maverick McNealy,80,97.69,779,761
Tyrrell Hatton,42,97.67,472,461
Kevin Kisner,73,97.67,772,754
Cameron Percy,49,97.67,472,461
Carlos Ortiz,72,97.64,932,910
Nate Lashley,52,97.62,629,614
Justin Thomas,66,97.60,834,814
Abraham Ancer,74,97.59,790,771
Mark Anderson,51,97.53,527,514
Matthew NeSmith,72,97.52,765,746
Daniel Berger,64,97.50,760,741
Zach Johnson,61,97.49,756,737
Harris English,76,97.44,938,914
Sebastian Cappelen,55,97.43,505,492
James Hahn,36,97.42,387,377
Jason Kokrak,62,97.42,737,718
Brandon Hagy,50,97.42,504,491
Gary Woodland,62,97.41,734,715
Peter Malnati,61,97.41,657,640
Mackenzie Hughes,70,97.41,851,829
Richy Werenski,60,97.40,693,675
Roger Sloan,55,97.39,536,522
Michael Thompson,62,97.39,805,784
Scott Piercy,66,97.38,725,706
Matt Wallace,44,97.37,570,555
Andrew Landry,63,97.36,834,812
Rickie Fowler,44,97.35,566,551
Mark Hubbard,86,97.35,"1,020",993
Sam Ryder,74,97.34,789,768
Austin Cook,64,97.33,675,657
Bud Cauley,65,97.33,825,803
David Hearn,55,97.33,525,511
Adam Long,88,97.32,"1,006",979
Rhein Gibson,54,97.32,485,472
Ben Taylor,44,97.32,411,400
Nick Taylor,59,97.31,706,687
Louis Oosthuizen,48,97.28,551,536
Sam Burns,60,97.26,766,745
Patrick Cantlay,46,97.25,618,601
Patrick Reed,74,97.23,901,876
Alex Noren,60,97.20,643,625
Jason Day,53,97.20,571,555
Talor Gooch,83,97.19,"1,068","1,038"
Brian Gay,67,97.17,706,686
Ben Martin,38,97.16,317,308
Patton Kizzire,55,97.15,667,648
Harry Higgs,83,97.15,982,954
Jim Furyk,39,97.15,527,512
Matthew Wolff,74,97.14,909,883
Chris Stroud,48,97.12,520,505
Patrick Rodgers,95,97.12,"1,042","1,012"
Jim Herman,60,97.10,759,737
Vaughn Taylor,61,97.10,620,602
Ian Poulter,48,97.08,513,498
Dustin Johnson,49,97.08,650,631
Viktor Hovland,74,97.03,809,785
Brian Stuard,83,97.01,904,877
Kyle Stanley,57,96.98,629,610
Tim Wilkinson,50,96.98,464,450
Kevin Na,71,96.97,792,768
Adam Scott,38,96.96,428,415
Scott Brown,64,96.96,724,702
Sepp Straka,70,96.92,878,851
Bronson Burgoon,55,96.90,612,593
Joel Dahmen,79,96.90,902,874
Tom Hoge,74,96.89,933,904
Cameron Tringale,63,96.88,769,745
Brendan Steele,68,96.86,795,770
Tony Finau,72,96.85,858,831
Sebastián Muñoz,84,96.84,"1,076","1,042"
Rafa Cabrera Bello,53,96.79,561,543
Justin Rose,38,96.78,466,451
K.H. Lee,76,96.78,776,751
Harold Varner III,74,96.74,829,802
Brandt Snedeker,53,96.74,705,682
Sungjae Im,94,96.74,"1,135","1,098"
Robby Shelton,75,96.73,826,799
Brendon Todd,86,96.72,"1,036","1,002"
Webb Simpson,52,96.70,696,673
Pat Perez,59,96.68,573,554
Charles Howell III,69,96.67,720,696
Joseph Bramlett,57,96.67,570,551
Wes Roach,42,96.65,328,317
Henrik Norlander,74,96.63,801,774
Chesson Hadley,62,96.62,651,629
Joaquin Niemann,76,96.60,940,908
Bo Van Pelt,45,96.58,468,452
Ryan Palmer,68,96.58,848,819
Beau Hossler,71,96.55,696,672
Robert Streb,54,96.54,492,475
Matt Jones,76,96.54,925,893
Collin Morikawa,80,96.53,"1,010",975
Will Gordon,36,96.52,316,305
Lanto Griffin,96,96.51,"1,119","1,080"
Hideki Matsuyama,74,96.49,884,853
Stewart Cink,51,96.46,650,627
Rory McIlroy,60,96.46,734,708
Jhonattan Vegas,52,96.45,535,516
Russell Henley,67,96.45,844,814
Kevin Tway,52,96.40,528,509
Michael Gligic,52,96.36,495,477
Sung Kang,73,96.34,901,868
Ryan Moore,48,96.32,489,471
Bubba Watson,66,96.32,816,786
Chez Reavie,77,96.31,841,810
Paul Casey,56,96.31,651,627
Charley Hoffman,63,96.25,666,641
Keith Mitchell,64,96.25,693,667
Aaron Baddeley,49,96.24,532,512
Adam Hadwin,65,96.24,772,743
D.J. Trahan,49,96.22,502,483
"Ted Potter, Jr.",46,96.22,502,483
Arjun Atwal,35,96.19,289,278
Graeme McDowell,48,96.19,525,505
Michael Gellerman,46,96.17,418,402
Dylan Frittelli,82,96.16,989,951
Brooks Koepka,40,96.16,547,526
Russell Knox,67,96.15,728,700
Peter Uihlein,47,96.15,468,450
Marc Leishman,61,96.14,751,722
C.T. Pan,56,96.11,642,617
Kevin Streelman,73,96.02,829,796
Doc Redman,82,96.01,"1,002",962
Vincent Whaley,40,95.99,399,383
Nick Watney,46,95.96,495,475
J.T. Poston,78,95.93,885,849
Dominic Bozzelli,38,95.93,344,330
Si Woo Kim,78,95.91,855,820
Ryan Armour,60,95.90,658,631
Kris Ventura,48,95.90,390,374
Scott Harrington,68,95.88,776,744
Jimmy Walker,46,95.86,604,579
Danny Lee,69,95.85,772,740
Fabián Gómez,59,95.83,552,529
Cameron Champ,70,95.83,887,850
Tyler Duncan,83,95.80,"1,000",958
Tyler McCumber,57,95.80,572,548
Rob Oppenheim,65,95.79,642,615
Lucas Glover,67,95.79,736,705
Scottie Scheffler,82,95.75,"1,011",968
Zac Blair,70,95.72,724,693
J.J. Spaun,62,95.70,697,667
Nelson Ledesma,42,95.70,349,334
Xinjun Zhang,77,95.69,859,822
Aaron Wise,49,95.64,505,483
Jordan Spieth,62,95.59,680,650
Kramer Hickok,51,95.58,543,519
Branden Grace,43,95.55,494,472
Kevin Chappell,41,95.51,445,425
Jason Dufner,62,95.47,839,801
Corey Conners,74,95.45,923,881
Shane Lowry,44,95.41,523,499
Rory Sabbatini,66,95.40,718,685
Martin Laird,39,95.37,432,412
Cam Davis,62,95.37,648,618
Emiliano Grillo,69,95.36,733,699
Seamus Power,36,95.29,297,283
Chris Baker,53,95.26,485,462
Zack Sucher,38,95.25,358,341
Martin Trainer,48,95.23,566,539
Byeong Hun An,75,95.14,885,842
Keegan Bradley,68,95.12,841,800
Sergio Garcia,44,95.00,480,456
Grayson Murray,36,94.88,469,445
Bill Haas,46,94.77,535,507
Luke List,69,94.75,876,830
Josh Teater,43,94.75,400,379
Matt Every,47,94.64,597,565
Ryan Brehm,52,94.17,480,452
Hank Lebioda,57,93.73,606,568
Anirban Lahiri,35,93.67,332,311
