PLAYER,TOTAL 1 PUTTS - 15-20'_ROUNDS,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
Scottie Scheffler,82,35,506,6.9
Denny McCarthy,81,35,474,7.4
Mark Hubbard,86,33,538,6.1
Maverick McNealy,80,33,431,7.7
Doc Redman,82,33,469,7.0
Brendon Todd,86,32,580,5.5
Carlos Ortiz,72,31,452,6.9
Harry Higgs,83,30,486,6.2
Sungjae Im,94,30,592,5.1
Talor Gooch,83,30,526,5.7
Lanto Griffin,96,29,591,4.9
Troy Merritt,72,28,392,7.1
Sam Ryder,74,28,401,7.0
J.T. Poston,78,28,478,5.9
Gary Woodland,62,27,381,7.1
Justin Thomas,66,26,436,6.0
Patrick Reed,74,26,522,5.0
Peter Malnati,61,26,363,7.2
J.J. Spaun,62,26,342,7.6
Xander Schauffele,70,26,458,5.7
Matt Jones,76,25,444,5.6
Kevin Streelman,73,25,394,6.3
Webb Simpson,52,25,392,6.4
Dylan Frittelli,82,25,488,5.1
Russell Henley,67,25,379,6.6
Harris English,76,25,478,5.2
Corey Conners,74,25,380,6.6
Chesson Hadley,62,24,322,7.5
Tom Hoge,74,24,477,5.0
Joaquin Niemann,76,24,455,5.3
Ian Poulter,48,23,311,7.4
Brendan Steele,68,23,405,5.7
Henrik Norlander,74,23,374,6.1
Dustin Johnson,49,23,346,6.6
Xinjun Zhang,77,23,427,5.4
Richy Werenski,60,23,357,6.4
Stewart Cink,51,22,302,7.3
Matt Kuchar,56,22,359,6.1
Bubba Watson,66,22,392,5.6
Scott Harrington,68,22,376,5.9
Sung Kang,73,22,417,5.3
Danny Lee,69,22,411,5.4
Brian Stuard,83,22,476,4.6
Patton Kizzire,55,22,345,6.4
Keegan Bradley,68,22,370,5.9
Adam Hadwin,65,22,375,5.9
Adam Long,88,22,498,4.4
Patrick Rodgers,95,22,519,4.2
Tyler Duncan,83,22,496,4.4
Viktor Hovland,74,22,411,5.4
Bryson DeChambeau,62,22,482,4.6
Brian Gay,67,21,357,5.9
Marc Leishman,61,21,368,5.7
Tony Finau,72,21,432,4.9
Michael Thompson,62,21,400,5.3
Beau Hossler,71,21,344,6.1
Mackenzie Hughes,70,21,465,4.5
Keith Mitchell,64,21,361,5.8
Sebastián Muñoz,84,21,562,3.7
Sepp Straka,70,21,426,4.9
David Hearn,55,20,249,8.0
Brian Harman,78,20,547,3.7
Rory McIlroy,60,20,374,5.3
Kevin Kisner,73,20,432,4.6
Kevin Chappell,41,20,229,8.7
Cameron Tringale,63,20,383,5.2
Si Woo Kim,78,20,449,4.5
Daniel Berger,64,20,447,4.5
Jon Rahm,58,20,421,4.8
Adam Schenk,78,20,403,5.0
Matthew Wolff,74,20,454,4.4
Ryan Palmer,68,19,445,4.3
Kevin Na,71,19,477,4.0
Louis Oosthuizen,48,19,297,6.4
Brice Garnett,58,19,291,6.5
C.T. Pan,56,19,262,7.3
Jim Herman,60,19,327,5.8
Matthew NeSmith,72,19,363,5.2
Cam Davis,62,19,324,5.9
Robby Shelton,75,19,379,5.0
Brandon Hagy,50,19,241,7.9
Charley Hoffman,63,18,343,5.2
Vaughn Taylor,61,18,336,5.4
Rory Sabbatini,66,18,370,4.9
Nick Taylor,59,18,347,5.2
Bronson Burgoon,55,18,335,5.4
Scott Brown,64,18,348,5.2
Hideki Matsuyama,74,18,435,4.1
Byeong Hun An,75,18,433,4.2
Patrick Cantlay,46,18,328,5.5
Austin Cook,64,18,328,5.5
Sam Burns,60,18,381,4.7
Jim Furyk,39,17,212,8.0
Charles Howell III,69,17,341,5.0
Lucas Glover,67,17,345,4.9
Rafa Cabrera Bello,53,17,296,5.7
Brandt Snedeker,53,17,364,4.7
Jason Day,53,17,299,5.7
Kyle Stanley,57,17,278,6.1
Max Homa,70,17,411,4.1
Zac Blair,70,17,373,4.6
Matt Fitzpatrick,54,17,334,5.1
Matt Wallace,44,17,290,5.9
Collin Morikawa,80,17,520,3.3
Cameron Champ,70,17,418,4.1
Jimmy Walker,46,16,280,5.7
Chris Stroud,48,16,268,6.0
Russell Knox,67,16,323,5.0
Joseph Bramlett,57,16,260,6.2
Cameron Smith,64,16,422,3.8
Wyndham Clark,65,16,366,4.4
Andrew Putnam,46,15,240,6.3
Joel Dahmen,79,15,473,3.2
Jordan Spieth,62,15,363,4.1
Andrew Landry,63,15,393,3.8
Anirban Lahiri,35,15,156,9.6
Branden Grace,43,15,235,6.4
Peter Uihlein,47,15,210,7.1
Billy Horschel,79,15,432,3.5
Nate Lashley,52,15,326,4.6
Fabián Gómez,59,15,274,5.5
Matt Every,47,15,268,5.6
Luke List,69,15,377,4.0
Nick Watney,46,15,242,6.2
Pat Perez,59,15,267,5.6
Aaron Baddeley,49,15,277,5.4
Ryan Armour,60,15,302,5.0
Phil Mickelson,51,15,287,5.2
Vincent Whaley,40,14,209,6.7
Bud Cauley,65,14,411,3.4
Roger Sloan,55,14,258,5.4
K.H. Lee,76,14,404,3.5
Jason Kokrak,62,14,347,4.0
Scott Stallings,71,14,359,3.9
"Ted Potter, Jr.",46,14,232,6.0
Chez Reavie,77,14,384,3.6
Scott Piercy,66,14,357,3.9
Zach Johnson,61,14,384,3.6
Justin Rose,38,14,250,5.6
Aaron Wise,49,13,208,6.3
Kramer Hickok,51,13,233,5.6
Abraham Ancer,74,13,421,3.1
Martin Trainer,48,13,294,4.4
Tyrrell Hatton,42,13,256,5.1
Mark Anderson,51,13,255,5.1
Rhein Gibson,54,13,227,5.7
Emiliano Grillo,69,13,293,4.4
Rob Oppenheim,65,13,298,4.4
Graeme McDowell,48,13,258,5.0
Tim Wilkinson,50,13,212,6.1
Harold Varner III,74,12,391,3.1
Brooks Koepka,40,12,265,4.5
Robert Streb,54,12,201,6.0
Sebastian Cappelen,55,12,249,4.8
Grayson Murray,36,12,219,5.5
Bo Hoag,71,12,300,4.0
Shane Lowry,44,12,241,5.0
Rickie Fowler,44,12,304,3.9
Ryan Moore,48,12,249,4.8
Jason Dufner,62,12,365,3.3
Cameron Percy,49,12,225,5.3
Doug Ghim,44,11,164,6.7
Tyler McCumber,57,11,230,4.8
James Hahn,36,11,170,6.5
Dominic Bozzelli,38,10,183,5.5
Zack Sucher,38,10,155,6.5
Tommy Fleetwood,40,10,202,5.0
Alex Noren,60,10,328,3.0
Josh Teater,43,10,177,5.6
Jhonattan Vegas,52,10,244,4.1
Adam Scott,38,10,219,4.6
D.J. Trahan,49,10,208,4.8
Chase Seiffert,56,9,248,3.6
Kris Ventura,48,9,197,4.6
Michael Gligic,52,9,237,3.8
Kevin Tway,52,9,230,3.9
Ryan Brehm,52,9,192,4.7
Martin Laird,39,9,189,4.8
Bill Haas,46,9,210,4.3
Sergio Garcia,44,9,227,4.0
Ben Taylor,44,8,181,4.4
Nelson Ledesma,42,8,169,4.7
Paul Casey,56,8,287,2.8
Will Gordon,36,7,122,5.7
Hank Lebioda,57,7,264,2.7
Michael Gellerman,46,7,208,3.4
Danny Willett,40,7,244,2.9
Wes Roach,42,6,136,4.4
Ben Martin,38,6,156,3.8
Seamus Power,36,6,147,4.1
Bo Van Pelt,45,6,187,3.2
Chris Baker,53,5,203,2.5
Arjun Atwal,35,3,120,2.5
