PLAYER,TOTAL 1 PUTTS - INSIDE 5'_ROUNDS,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
Sungjae Im,94,313,592,52.9
Lanto Griffin,96,297,591,50.3
Brian Harman,78,295,547,53.9
Brendon Todd,86,279,580,48.1
Sebastián Muñoz,84,272,562,48.4
Dylan Frittelli,82,267,488,54.7
Patrick Reed,74,264,522,50.6
Talor Gooch,83,264,526,50.2
Joel Dahmen,79,262,473,55.4
Mark Hubbard,86,260,538,48.3
Scottie Scheffler,82,258,506,51.0
Collin Morikawa,80,252,520,48.5
Adam Long,88,250,498,50.2
Carlos Ortiz,72,245,452,54.2
Tyler Duncan,83,244,496,49.2
Harry Higgs,83,243,486,50.0
Hideki Matsuyama,74,242,435,55.6
Patrick Rodgers,95,242,519,46.6
Brian Stuard,83,241,476,50.6
Tom Hoge,74,239,477,50.1
Ryan Palmer,68,239,445,53.7
Byeong Hun An,75,237,433,54.7
Tony Finau,72,236,432,54.6
J.T. Poston,78,235,478,49.2
Justin Thomas,66,234,436,53.7
Bryson DeChambeau,62,232,482,48.1
Matthew Wolff,74,232,454,51.1
Si Woo Kim,78,230,449,51.2
Max Homa,70,229,411,55.7
Joaquin Niemann,76,229,455,50.3
Mackenzie Hughes,70,228,465,49.0
Cameron Smith,64,225,422,53.3
Andrew Landry,63,224,393,57.0
Kevin Na,71,224,477,47.0
Jon Rahm,58,223,421,53.0
Xander Schauffele,70,222,458,48.5
K.H. Lee,76,222,404,55.0
Xinjun Zhang,77,221,427,51.8
Matt Jones,76,221,444,49.8
Daniel Berger,64,220,447,49.2
Abraham Ancer,74,219,421,52.0
Sung Kang,73,219,417,52.5
Harris English,76,218,478,45.6
Chez Reavie,77,216,384,56.3
Doc Redman,82,215,469,45.8
Billy Horschel,79,214,432,49.5
Michael Thompson,62,214,400,53.5
Bud Cauley,65,213,411,51.8
Kevin Kisner,73,213,432,49.3
Cameron Champ,70,213,418,51.0
Denny McCarthy,81,212,474,44.7
Sam Ryder,74,212,401,52.9
Cameron Tringale,63,212,383,55.4
Harold Varner III,74,209,391,53.5
Sepp Straka,70,206,426,48.4
Adam Schenk,78,205,403,50.9
Brendan Steele,68,199,405,49.1
Kevin Streelman,73,199,394,50.5
Rory Sabbatini,66,198,370,53.5
Jason Dufner,62,196,365,53.7
Scott Piercy,66,196,357,54.9
Peter Malnati,61,195,363,53.7
Zac Blair,70,195,373,52.3
Corey Conners,74,194,380,51.1
Rory McIlroy,60,194,374,51.9
Viktor Hovland,74,193,411,47.0
Robby Shelton,75,192,379,50.7
Maverick McNealy,80,192,431,44.5
Danny Lee,69,192,411,46.7
Bubba Watson,66,191,392,48.7
