PLAYER,APEX_HEIGHT_ROUNDS,APEX_HEIGHT_AVG,TOTAL APEX HEIGHT,APEX_HEIGHT_TOTAL ATTEMPTS,HIGHEST APEX POINT,LOWEST APEX POINT
Bryson DeChambeau,62,"140' 4""","391' 6""",359,"210' 11""",0000001009
Keegan Bradley,68,"126' 10""","2955' 3""",181,"156' 1""",0000001029
Rory McIlroy,60,"126' 3""","6260' 0""",208,"192' 5""",0000000472
James Hahn,36,"125' 3""","1421' 1""",171,"165' 2""",0000000275
Jason Kokrak,62,"125' 0""","241' 7""",402,"193' 9""",0000000658
Danny Lee,69,"124' 7""",6665',214,"175' 7""",0000000934
Cam Davis,62,"123' 2""","8601' 2""",151,"167' 6""",0000000861
Jon Rahm,58,"123' 1""","6467' 4""",215,"173' 3""",0000000907
Phil Mickelson,51,"120' 7""","5676' 4""",130,"177' 10""",0000000635
Adam Long,88,"120' 5""","1189' 9""",259,"159' 9""",0000001060
Tommy Fleetwood,40,"119' 9""","4129' 5""",118,"158' 8""",0000000971
Pat Perez,59,"118' 5""","6126' 2""",305,"157' 5""",0000000224
Sung Kang,73,"118' 1""","3255' 7""",197,"174' 6""",0000000800
Matthew Wolff,74,"117' 6""","6564' 3""",226,"175' 8""",0000000794
Nelson Ledesma,42,"117' 3""","9850' 5""",84,"152' 6""",0000000910
Brooks Koepka,40,"117' 1""","5458' 9""",132,"151' 0""",0000001000
Kevin Chappell,41,"116' 8""","5751' 9""",135,"155' 5""",0000000807
Rickie Fowler,44,"116' 6""","8202' 6""",328,"162' 8""",0000000733
Wyndham Clark,65,"116' 1""",8798',162,"158' 3""",0000000305
Roger Sloan,55,"115' 8""",5850',310,"152' 2""",0000000726
Danny Willett,40,"115' 4""","3612' 0""",118,"152' 2""",0000000880
J.J. Spaun,62,"115' 2""","8656' 7""",162,"158' 8""",0000000936
Dustin Johnson,49,"115' 1""","7604' 2""",153,"185' 0""",0000000802
Byeong Hun An,75,"114' 10""","9013' 4""",514,"163' 9""",0000000091
Justin Rose,38,"114' 8""",3356',291,"158' 8""",0000000215
Matt Wallace,44,"114' 2""","63' 4""",351,"156' 3""",0000000443
Mackenzie Hughes,70,"114' 1""","8862' 5""",253,"145' 11""",0000000959
Beau Hossler,71,"113' 5""","1859' 3""",369,"161' 1""",0000000754
Troy Merritt,72,"113' 5""","487' 8""",445,"154' 0""",0000000008
Tyler McCumber,57,"113' 2""","9797' 4""",175,"146' 8""",0000000777
Patton Kizzire,55,"113' 0""",6949',150,"154' 2""",0000000800
Jimmy Walker,46,"112' 10""","1473' 7""",279,"169' 3""",0000000618
Josh Teater,43,"112' 0""","3752' 8""",212,"153' 11""",0000000890
Alex Noren,60,"112' 0""",1100',367,"189' 0""",0000000650
Bill Haas,46,"111' 9""","3076' 7""",117,"151' 8""",0000000759
Collin Morikawa,80,"111' 6""","7769' 1""",249,"153' 1""",0000000976
Viktor Hovland,74,"111' 2""","4914' 7""",584,"155' 5""",0000000660
Aaron Wise,49,"110' 11""","2531' 8""",113,"143' 8""",0000000838
Adam Hadwin,65,"110' 11""",4248',489,"156' 0""",0000000729
Cameron Tringale,63,"110' 5""","4851' 1""",225,"155' 5""",0000000707
Webb Simpson,52,"110' 1""","3049' 4""",391,"153' 3""",0000000831
Kevin Streelman,73,"109' 5""","1189' 5""",468,"158' 5""",0000000108
Martin Trainer,48,"109' 4""","3227' 5""",121,"147' 3""",0000000658
Ryan Brehm,52,"109' 3""","9229' 5""",176,"153' 8""",0000000753
Bo Van Pelt,45,"109' 2""",8924',265,"141' 10""",0000000889
Nick Taylor,59,"108' 5""","8608' 6""",356,"153' 7""",0000000621
Jason Day,53,"108' 3""","5474' 9""",143,"172' 9""",0000000849
Billy Horschel,79,"108' 1""","5839' 8""",239,"146' 5""",0000000784
Max Homa,70,"108' 0""","2782' 6""",211,"145' 10""",0000000768
Tyrrell Hatton,42,"107' 11""","6297' 3""",151,"149' 2""",0000000923
Scottie Scheffler,82,"107' 10""","8894' 5""",268,"152' 10""",0000000091
Dylan Frittelli,82,"107' 9""","5544' 6""",237,"169' 7""",0000000673
Austin Cook,64,"107' 7""","767' 9""",379,"144' 6""",0000000683
Dominic Bozzelli,38,"107' 6""","5805' 6""",147,"145' 5""",0000000681
Wes Roach,42,"107' 3""","4477' 5""",135,"164' 2""",0000000731
J.T. Poston,78,"107' 3""","742' 1""",473,"140' 7""",0000000787
Brendan Steele,68,"107' 3""",6239',338,"143' 1""",0000000436
Keith Mitchell,64,"107' 1""","7242' 1""",161,"152' 7""",0000000113
Zack Sucher,38,"106' 10""",8902',177,"141' 9""",0000000679
Scott Harrington,68,"106' 5""","8087' 6""",170,"153' 10""",0000000713
Ryan Palmer,68,"106' 2""","3360' 5""",220,"140' 2""",0000000481
Tony Finau,72,"106' 2""","3149' 6""",218,"169' 11""",0000000065
Vaughn Taylor,61,"106' 0""","1477' 9""",297,"134' 8""",0000000791
Corey Conners,74,"105' 10""",1703',205,"150' 4""",0000000778
Harold Varner III,74,"105' 9""","7257' 2""",447,"146' 1""",0000000107
Hideki Matsuyama,74,"105' 9""","5901' 7""",245,"149' 11""",0000000640
Kris Ventura,48,"105' 6""","4555' 3""",138,"148' 4""",0000000675
Gary Woodland,62,"105' 5""","6128' 7""",153,"149' 1""",0000000677
Bronson Burgoon,55,"105' 5""","8470' 2""",270,"145' 1""",0000000778
Sergio Garcia,44,"104' 9""","1630' 7""",111,"159' 3""",0000000590
Patrick Cantlay,46,"104' 9""","6979' 5""",353,"147' 5""",0000000372
Joseph Bramlett,57,"104' 8""","568' 3""",101,"134' 10""",0000000825
Chesson Hadley,62,"104' 6""","4624' 6""",140,"142' 5""",0000000878
