PLAYER,CARRY_DISTANCE_ROUNDS,CARRY_DISTANCE_AVG,TOTAL DIST. TO IMPACT,CARRY_DISTANCE_TOTAL ATTEMPTS,LONGEST CARRY DISTANCE,SHORTEST CARRY DISTANCE
Bryson DeChambeau,62,314.1,"112,767.6",359,400.1,50.6
Ryan Brehm,52,304.6,"53,608.8",176,336.3,254.9
Matthew Wolff,74,303.8,"68,664.7",226,344.9,35.5
Will Gordon,36,303.7,"21,867.3",72,354.4,253.8
Rory McIlroy,60,303.3,"63,080.8",208,366.2,249.6
Dustin Johnson,49,301.9,"46,195.9",153,390.6,50.5
Cameron Champ,70,300.8,"62,258.6",207,369.1,2.4
Brandon Hagy,50,299.3,"38,608.9",129,342.3,220.6
Tyler McCumber,57,298.8,"52,286.8",175,339.6,237.3
Cam Davis,62,298.2,"45,026.5",151,337.0,265.2
Grayson Murray,36,297.6,"61,306.9",206,"1,147.4",49.4
Tommy Fleetwood,40,297.3,"35,076.3",118,347.1,249.1
Jon Rahm,58,297.1,"63,875.6",215,350.0,53.4
Jason Kokrak,62,297.0,"119,391.1",402,353.4,22.1
Martin Trainer,48,296.5,"35,881.9",121,325.1,248.4
Brooks Koepka,40,296.5,"39,133.6",132,332.4,257.6
Luke List,69,295.7,"57,953.8",196,325.1,243.7
Kris Ventura,48,294.9,"40,691.9",138,323.8,256.2
Wyndham Clark,65,294.8,"47,764.8",162,330.0,215.4
Tony Finau,72,294.4,"64,183.9",218,350.3,168.8
Scott Harrington,68,294.2,"50,020.1",170,350.1,251.1
Sam Burns,60,294.0,"122,887.0",418,335.1,61.6
Gary Woodland,62,293.4,"44,882.7",153,337.4,249.5
Bubba Watson,66,293.2,"145,432.1",496,369.5,21.1
Jhonattan Vegas,52,291.5,"62,672.9",215,344.1,35.3
Keith Mitchell,64,291.0,"46,851.5",161,326.5,207.4
Keegan Bradley,68,290.4,"52,561.3",181,324.6,250.9
Max Homa,70,290.4,"61,266.3",211,325.9,249.9
Beau Hossler,71,290.3,"106,831.9",368,327.8,247.5
Phil Mickelson,51,290.1,"37,715.7",130,332.7,229.7
Patrick Rodgers,95,290.0,"76,858.9",265,327.3,185.7
Jason Day,53,289.9,"41,455.8",143,319.9,260.4
Matt Wallace,44,289.7,"101,701.0",351,346.9,32.0
Kevin Tway,52,289.2,"61,021.1",211,334.4,48.2
Aaron Wise,49,289.1,"32,672.1",113,328.0,243.8
Peter Uihlein,47,289.0,"47,970.6",166,317.4,22.6
Brendan Steele,68,288.8,"97,621.8",338,333.8,34.4
Justin Thomas,66,288.8,"49,959.7",173,347.7,52.2
Hideki Matsuyama,74,288.6,"70,697.1",245,350.9,238.9
Patrick Cantlay,46,288.4,"101,525.3",352,327.5,209.8
Xander Schauffele,70,288.4,"66,901.3",232,348.8,227.4
Nick Watney,46,288.3,"37,770.1",131,320.6,241.4
Adam Scott,38,288.1,"34,280.1",119,358.2,56.1
Paul Casey,56,287.9,"46,070.0",160,335.1,47.1
Cameron Tringale,63,287.9,"64,775.7",225,327.8,257.9
Sepp Straka,70,287.7,"59,839.6",208,320.3,215.4
Sergio Garcia,44,287.7,"31,940.0",111,348.0,52.1
Danny Lee,69,287.2,"61,456.8",214,325.4,239.1
Michael Gligic,52,287.1,"39,908.4",139,311.6,249.4
Byeong Hun An,75,286.9,"147,453.2",514,347.9,20.7
Justin Rose,38,286.9,"83,473.5",291,326.8,181.1
Charles Howell III,69,286.8,"103,237.2",360,360.8,238.1
Danny Willett,40,286.7,"33,828.0",118,337.4,253.2
Sebastian Cappelen,55,286.7,"37,843.7",132,328.1,215.6
Sung Kang,73,286.6,"56,469.8",197,353.7,36.3
Jimmy Walker,46,286.5,"79,929.3",279,328.0,231.9
Rickie Fowler,44,286.0,"93,821.8",328,325.4,243.7
Scottie Scheffler,82,285.8,"76,588.2",268,335.0,47.4
Harry Higgs,83,285.7,"76,849.8",269,333.0,240.8
Jordan Spieth,62,285.6,"117,937.8",413,472.0,35.2
Sebastián Muñoz,84,285.5,"107,637.0",377,341.3,35.9
Harris English,76,285.4,"73,631.9",258,319.8,251.4
Mackenzie Hughes,70,285.3,"72,192.3",253,333.2,247.4
Alex Noren,60,285.3,"104,716.8",367,321.1,243.1
Kevin Chappell,41,285.0,"38,471.4",135,317.0,244.8
Carlos Ortiz,72,284.8,"126,730.3",445,348.9,39.1
Ben Taylor,44,284.8,"26,197.3",92,327.0,255.5
Ryan Palmer,68,284.7,"62,639.4",220,327.0,232.6
Adam Schenk,78,284.4,"54,037.8",190,319.1,239.4
Tyrrell Hatton,42,284.4,"42,944.6",151,329.5,47.5
Zack Sucher,38,284.0,"50,271.9",177,314.7,240.7
Lanto Griffin,96,284.0,"91,455.4",322,352.9,5.9
Talor Gooch,83,284.0,"61,902.2",218,323.8,248.9
Viktor Hovland,74,283.7,"165,705.2",584,333.1,230.6
Nelson Ledesma,42,283.6,"23,826.4",84,308.2,246.7
Sungjae Im,94,283.6,"185,783.9",655,340.6,58.8
Corey Conners,74,283.6,"58,131.9",205,332.7,34.7
Patton Kizzire,55,283.5,"42,525.3",150,308.8,254.8
J.J. Spaun,62,283.4,"45,918.4",162,304.7,256.1
Dylan Frittelli,82,283.2,"66,843.6",236,331.8,241.0
Roger Sloan,55,283.2,"87,791.5",310,322.6,250.1
Collin Morikawa,80,283.1,"70,503.3",249,321.1,243.1
Shane Lowry,44,282.9,"85,723.6",303,334.6,49.5
Joseph Bramlett,57,282.8,"28,565.5",101,311.5,234.1
Harold Varner III,74,282.8,"126,423.2",447,321.8,4.6
Vincent Whaley,40,282.8,"42,421.9",150,310.4,48.3
Chesson Hadley,62,282.7,"39,576.3",140,320.3,225.0
Martin Laird,39,282.6,"28,829.6",102,309.8,256.3
Cameron Smith,64,282.1,"117,634.9",417,334.3,218.3
James Hahn,36,281.9,"48,203.6",171,322.5,215.9
Rhein Gibson,54,281.9,"30,730.2",109,311.0,187.8
Matthew NeSmith,72,281.9,"47,915.4",170,325.7,231.3
Matt Every,47,281.9,"38,897.9",138,737.4,239.5
Bronson Burgoon,55,281.8,"76,085.1",270,325.2,247.6
Pat Perez,59,281.8,"85,959.8",305,776.5,33.3
Bill Haas,46,281.7,"32,955.3",117,316.8,244.1
Sam Ryder,74,281.7,"57,183.5",203,312.3,34.6
Emiliano Grillo,69,281.2,"46,963.9",167,309.7,244.3
Louis Oosthuizen,48,281.1,"102,889.2",366,342.1,47.5
Webb Simpson,52,280.9,"109,829.7",391,324.8,41.7
Josh Teater,43,280.8,"59,540.2",212,322.7,245.8
Adam Hadwin,65,280.8,"137,335.5",489,322.4,35.1
Billy Horschel,79,280.5,"67,035.7",239,339.6,33.2
Doc Redman,82,280.5,"71,251.9",254,325.1,246.5
Joaquin Niemann,76,279.9,"57,661.9",206,334.8,13.5
J.T. Poston,78,279.7,"132,317.0",473,315.4,239.6
Nick Taylor,59,279.6,"99,548.4",356,308.0,235.3
Matt Jones,76,279.6,"145,389.4",520,339.9,19.4
Adam Long,88,279.6,"72,427.9",259,316.9,239.9
Xinjun Zhang,77,279.5,"62,049.0",222,311.1,235.1
Stewart Cink,51,279.1,"50,800.0",182,312.1,247.8
Kevin Streelman,73,279.0,"130,298.6",467,321.0,228.1
Seamus Power,36,278.9,"25,099.7",90,311.7,223.3
Doug Ghim,44,278.6,"25,914.2",93,302.4,238.4
Austin Cook,64,278.5,"105,565.5",379,313.5,222.4
Charley Hoffman,63,278.4,"112,213.4",403,315.6,32.7
Richy Werenski,60,278.3,"51,201.3",184,317.5,229.6
Troy Merritt,72,278.2,"123,803.8",445,323.1,34.5
K.H. Lee,76,278.2,"59,524.4",214,307.7,230.0
Hank Lebioda,57,277.9,"39,456.6",142,312.8,246.3
Russell Knox,67,277.6,"50,807.6",183,309.6,241.9
Bo Van Pelt,45,277.2,"73,446.4",265,306.6,240.5
Denny McCarthy,81,277.0,"119,958.0",433,309.6,65.8
Scott Stallings,71,276.8,"42,633.9",154,317.9,227.5
Daniel Berger,64,276.4,"123,016.2",445,326.1,210.4
Peter Malnati,61,276.3,"107,216.6",388,308.2,238.6
Dominic Bozzelli,38,276.1,"40,583.6",147,306.7,236.7
Si Woo Kim,78,276.0,"66,236.8",240,313.2,213.9
D.J. Trahan,49,275.8,"28,402.8",103,309.6,242.3
Robert Streb,54,275.4,"52,883.5",192,317.1,64.6
Patrick Reed,74,275.3,"66,893.8",243,318.3,48.9
Chris Baker,53,275.2,"35,219.8",128,299.1,244.1
Michael Gellerman,46,275.2,"25,868.2",94,300.1,246.3
"Ted Potter, Jr.",46,275.1,"37,966.3",138,302.2,233.4
Henrik Norlander,74,275.1,"48,148.1",175,303.4,195.1
Anirban Lahiri,35,275.1,"19,805.5",72,307.4,240.3
Marc Leishman,61,274.9,"40,403.4",147,336.0,19.2
Scott Piercy,66,274.8,"108,820.8",396,318.7,213.4
Joel Dahmen,79,274.7,"150,005.0",546,328.9,222.5
