PLAYER,CARRY_EFFICIENCY_ROUNDS,CARRY_EFFICIENCY_AVG,AVERAGE CARRY DIST. YARDS,AVERAGE CLUB HEAD SPEED,CARRY_EFFICIENCY_TOTAL ATTEMPTS,HIGHEST CARRY EFFICIENCY
Tommy Fleetwood,40,2.560,297.3,116.125,112,0218103047
Rory McIlroy,60,2.551,303.3,118.884,189,0216303048
Danny Willett,40,2.541,286.7,112.836,101,0226302984
Keegan Bradley,68,2.538,290.4,114.396,176,0226502835
Nick Taylor,59,2.538,279.6,110.178,169,0210902817
J.J. Spaun,62,2.535,283.4,111.805,158,0227902758
Sepp Straka,70,2.534,287.7,113.521,204,0196402784
Zack Sucher,38,2.533,284.0,112.120,81,0235702789
Adam Long,88,2.530,279.6,110.518,254,0217002854
Bronson Burgoon,55,2.530,281.8,111.401,143,0225202816
Webb Simpson,52,2.528,280.9,111.118,182,0222002901
Beau Hossler,71,2.526,290.3,114.932,204,0200502814
Dustin Johnson,49,2.525,301.9,119.564,148,0042603242
James Hahn,36,2.524,281.9,111.691,107,0191002811
Byeong Hun An,75,2.523,286.9,113.683,224,0044203035
Jason Kokrak,62,2.521,297.0,117.803,190,0043602915
Matt Every,47,2.521,281.9,111.791,132,0216006395
Cam Davis,62,2.520,298.2,118.352,138,0226502844
Rickie Fowler,44,2.516,286.0,113.688,139,0215502842
Matt Wallace,44,2.515,289.7,115.200,141,0027702834
Austin Cook,64,2.514,278.5,110.779,182,0224902769
Bryson DeChambeau,62,2.513,314.1,125.003,188,0040203004
Aaron Wise,49,2.513,289.1,115.049,109,0209002740
Josh Teater,43,2.513,280.9,111.780,100,0228202812
Bo Van Pelt,45,2.513,277.2,110.273,130,0229602725
Cameron Smith,64,2.512,282.1,112.305,181,0205902853
Andrew Landry,63,2.511,273.1,108.782,221,0209302729
Jon Rahm,58,2.511,297.1,118.332,209,0044102948
Danny Lee,69,2.510,287.2,114.400,209,0203502831
Adam Hadwin,65,2.510,280.9,111.907,205,0030902744
Viktor Hovland,74,2.508,283.7,113.145,240,0222302874
Doug Ghim,44,2.506,278.6,111.183,87,0217402704
Chesson Hadley,62,2.505,282.7,112.858,136,0204702832
Nelson Ledesma,42,2.504,283.6,113.285,78,0222502755
Jordan Spieth,62,2.504,285.6,114.050,151,0030902917
Matthew Wolff,74,2.504,303.8,121.320,221,0030102861
Harold Varner III,74,2.503,282.8,113.005,199,0030802824
Sung Kang,73,2.502,286.6,114.578,192,0031603016
Louis Oosthuizen,48,2.501,281.1,112.413,138,0042202840
Roger Sloan,55,2.500,283.2,113.293,117,0215502738
Troy Merritt,72,2.497,278.2,111.399,185,0077102779
Dylan Frittelli,82,2.497,283.2,113.410,231,0217202772
Hideki Matsuyama,74,2.496,288.6,115.630,240,0201803027
Jimmy Walker,46,2.494,286.5,114.873,119,0218302737
Mark Anderson,51,2.493,274.6,110.157,102,0215102759
Richy Werenski,60,2.493,278.3,111.621,180,0206002761
Collin Morikawa,80,2.493,283.1,113.565,244,0214902792
Patrick Cantlay,46,2.491,288.4,115.787,140,0202002827
Brandt Snedeker,53,2.491,271.0,108.789,187,0046502869
David Hearn,55,2.491,262.3,105.260,125,0217702753
Martin Trainer,48,2.490,296.5,119.084,117,0201302798
Matt Kuchar,56,2.487,271.0,108.983,162,0216202834
Ryan Palmer,68,2.486,284.7,114.541,212,0202602823
Justin Rose,38,2.486,286.9,115.370,130,0217302780
Patton Kizzire,55,2.486,283.5,114.039,141,0223402727
Justin Thomas,66,2.485,288.8,116.232,168,0044803042
Chez Reavie,77,2.482,267.7,107.834,203,0206805041
Tyrrell Hatton,42,2.480,284.4,114.680,145,0042702940
Robby Shelton,75,2.479,274.4,110.694,215,0219002771
Mackenzie Hughes,70,2.478,285.3,115.138,248,0211702846
Joseph Bramlett,57,2.478,282.8,114.116,96,0205302724
Phil Mickelson,51,2.478,290.1,117.089,125,0197602857
Nate Lashley,52,2.478,271.4,109.533,133,0223302747
Chris Stroud,48,2.477,271.5,109.613,143,0214302732
Sam Burns,60,2.477,294.0,118.667,189,0053802679
Fabián Gómez,59,2.476,268.3,108.356,131,0205202656
Vaughn Taylor,61,2.476,265.5,107.204,171,0206102773
Rafa Cabrera Bello,53,2.476,272.2,109.940,156,0060902897
Tim Wilkinson,50,2.476,264.5,106.852,98,0029802789
Michael Thompson,62,2.476,272.0,109.835,224,0215502729
Paul Casey,56,2.475,287.9,116.353,155,0040902880
Bill Haas,46,2.475,281.7,113.789,112,0205702796
Brian Harman,78,2.475,271.8,109.811,283,0122202946
Ben Taylor,44,2.474,284.8,115.075,88,0223602667
Hank Lebioda,57,2.474,277.9,112.319,137,0223302778
J.T. Poston,78,2.474,279.7,113.054,211,0209802702
Martin Laird,39,2.472,282.6,114.323,97,0224702717
Kevin Streelman,73,2.472,279.0,112.855,224,0202702766
Brice Garnett,58,2.472,272.9,110.403,153,0211402687
Anirban Lahiri,35,2.472,275.1,111.263,67,0216302773
Emiliano Grillo,69,2.471,281.2,113.786,162,0215602718
Russell Henley,67,2.470,271.4,109.866,216,0217702802
Brooks Koepka,40,2.470,296.5,120.025,127,0216102789
Harris English,76,2.469,285.4,115.608,254,0217202776
Sebastian Cappelen,55,2.468,286.7,116.153,126,0187902774
Billy Horschel,79,2.468,280.5,113.667,232,0029002940
Brian Gay,67,2.468,269.5,109.209,207,0195302741
K.H. Lee,76,2.467,278.2,112.739,208,0199802762
Matthew NeSmith,72,2.467,281.9,114.262,164,0198602792
Brendan Steele,68,2.466,288.8,117.112,177,0028902729
Zach Johnson,61,2.466,270.9,109.888,171,0210102761
Jason Day,53,2.466,289.9,117.583,138,0219802752
Shane Lowry,44,2.465,282.9,114.758,126,0042102943
Tyler McCumber,57,2.465,298.8,121.200,89,0216102722
Peter Malnati,61,2.463,276.3,112.211,169,0222202730
Scott Piercy,66,2.462,274.8,111.595,154,0211202773
Rory Sabbatini,66,2.462,270.1,109.748,190,0209902761
