RANK THIS WEEK,                                RANK LAST WEEK,PLAYER,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
        1,        1,Bryson DeChambeau,62,322.1,"39,945",124
        2,        2,Cameron Champ,70,322.0,"45,082",140
        3,        3,Ryan Brehm,52,315.3,"31,527",100
        4,        4,Rory McIlroy,60,314.0,"32,660",104
        5,        5,Grayson Murray,36,313.8,"22,591",72
        6,        6,Brandon Hagy,50,312.8,"28,776",92
        7,        7,Jason Kokrak,62,312.4,"33,743",108
        8,        8,Sam Burn,60,312.0,"36,197",116
        9,        9,Matthew Wolff,74,311.6,"41,135",132
        T10,        11,Dustin Johnson,49,311.0,"30,477",98
        T10,        10,Bubba Watson,66,311.0,"36,072",116
        12,        12,Tyler McCumber,57,310.2,"32,884",106
        13,        T13,Tony Finau,72,309.8,"39,655",128
        14,        T13,Tommy Fleetwood,40,309.6,"17,337",56
        15,        16,Jhonattan Vega,52,309.0,"28,424",92
        16,        15,Scottie Scheffler,82,308.9,"50,667",164
        17,        17,Will Gordon,36,308.8,"19,762",64
        18,        18,Patrick Rodger,95,308.5,"56,147",182
        19,        19,Adam Scott,38,308.1,"18,483",60
        20,        20,Cam Davi,62,308.0,"35,723",116
        21,        21,Luke List,69,307.8,"40,008",130
        22,        22,Jon Rahm,58,307.6,"35,682",116
        23,        23,Paul Casey,56,307.2,"29,490",96
        24,        24,Scott Harrington,68,307.1,"41,766",136
        25,        25,Brooks Koepka,40,307.0,"23,332",76
        26,        26,Beau Hossler,71,306.6,"41,091",134
        27,        28,Sergio Garcia,44,305.8,"19,573",64
        T28,        T29,Kris Ventura,48,305.7,"26,905",88
        T28,        T29,Byeong Hun An,75,305.7,"38,518",126
        T30,        33,Gary Woodland,62,305.4,"32,983",108
        T30,        T31,Xander Schauffele,70,305.4,"37,868",124
        32,        T34,Wyndham Clark,65,305.1,"32,336",106
        33,        T36,Seamus Power,36,304.5,"19,488",64
        34,        T34,Hideki Matsuyama,74,304.4,"37,744",124
        35,        T36,Justin Thoma,66,304.2,"35,286",116
        36,        38,Kevin Tway,52,303.8,"21,873",72
        37,        39,Sebastian Cappelen,55,303.7,"32,192",106
        38,        40,Brendan Steele,68,303.6,"38,859",128
        39,        41,Sung Kang,73,303.4,"39,444",130
        40,        42,Patrick Cantlay,46,303.1,"27,884",92
        41,        43,Sepp Straka,70,302.7,"42,381",140
        42,        46,Lanto Griffin,96,302.5,"55,656",184
        T43,        T44,Nick Watney,46,302.3,"26,602",88
        T43,        T44,Sebastián Muñoz,84,302.3,"50,793",168
        T45,        T47,Martin Laird,39,302.1,"23,562",78
        T45,        T47,Martin Trainer,48,302.1,"27,795",92
        T47,        T49,Danny Lee,69,302.0,"36,840",122
        T47,        T49,Adam Schenk,78,302.0,"39,860",132
        T49,        T51,Harold Varner III,74,301.9,"39,856",132
        T49,        T51,Keith Mitchell,64,301.9,"33,812",112
        T49,        T51,Cameron Tringale,63,301.9,"38,044",126
        52,        54,Peter Uihlein,47,301.8,"25,951",86
        T53,        T59,Joaquin Niemann,76,301.7,"41,034",136
        T53,        55,Matt Wallace,44,301.7,"24,138",80
        T55,        T56,Zack Sucher,38,301.6,"21,712",72
        T55,        T56,Jordan Spieth,62,301.6,"30,162",100
        T55,        73,Tyrrell Hatton,42,301.6,"20,510",68
        T55,        T56,Lucas Glover,67,301.6,"33,181",110
        T59,        T59,Phil Mickelson,51,301.5,"25,929",86
        T59,        T59,Aaron Wise,49,301.5,"27,137",90
        61,        T62,Danny Willett,40,301.2,"19,277",64
        62,        64,Charles Howell III,69,301.1,"34,324",114
        T63,        T65,Keegan Bradley,68,301.0,"36,125",120
        T63,        T65,Harry Higg,83,301.0,"49,974",166
        T65,        T62,Harris English,76,300.9,"45,732",152
        T65,        67,Vincent Whaley,40,300.9,"22,872",76
        T67,        T69,Max Homa,70,300.6,"37,270",124
        T67,        T69,Kevin Chappell,41,300.6,"24,649",82
        69,        T71,Sungjae Im,94,300.5,"49,276",164
        70,        T71,Carlos Ortiz,72,300.3,"43,247",144
        71,        68,Daniel Berger,64,300.2,"36,025",120
        72,        74,Louis Oosthuizen,48,300.1,"24,008",80
        73,        T77,Cameron Smith,64,299.8,"33,578",112
        74,        75,Jason Day,53,299.7,"26,976",90
