RANK THIS WEEK,                                RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL ACTUAL HANG TIME,TOTAL ATTEMPTS,LONGEST ACT. HANG TIME,SHORTEST ACT. HANG TIME
        1,        1,James Hahn,36,7.1,"1,214.6",171,8.2,3.3
        2,        2,Cam Davi,62,7.0,"1,052.9",151,8.3,.6
        T3,        T3,Bryson DeChambeau,62,6.9,"2,463.2",359,9.2,1.2
        T3,        T3,Keegan Bradley,68,6.9,"1,243.7",181,8.1,2.6
        T3,        T3,Danny Lee,69,6.9,"1,475.7",214,8.5,.9
        T3,        T3,Adam Long,88,6.9,"1,778.6",259,8.2,1.4
        T3,        T3,Josh Teater,43,6.9,"1,459.4",212,8.0,2.5
        T8,        T8,Scott Harrington,68,6.8,"1,163.5",170,8.2,2.0
        T8,        T8,Pat Perez,59,6.8,"2,079.7",305,8.3,1.7
        T8,        T8,Nelson Ledesma,42,6.8,570.5,84,8.1,1.0
        T8,        T8,Cameron Tringale,63,6.8,"1,529.0",225,8.5,1.6
        T8,        T8,Roger Sloan,55,6.8,"2,112.5",310,8.3,2.0
        T8,        T8,Tommy Fleetwood,40,6.8,803.4,118,7.9,2.7
        T8,        T8,Rickie Fowler,44,6.8,"2,226.9",328,8.2,3.5
        T8,        T8,Patton Kizzire,55,6.8,"1,017.0",150,8.3,1.8
        T8,        T8,Matthew Wolff,74,6.8,"1,527.8",226,8.3,1.1
        T8,        T8,Wes Roach,42,6.8,913.6,135,8.2,3.8
        T8,        T8,Brooks Koepka,40,6.8,900.1,132,8.0,2.5
        T19,        T19,J.J. Spaun,62,6.7,"1,077.3",162,8.0,1.6
        T19,        T19,Keith Mitchell,64,6.7,"1,072.0",161,8.2,2.5
        T19,        T19,Max Homa,70,6.7,"1,409.1",211,8.2,.7
        T19,        T37,Viktor Hovland,74,6.7,"3,883.6",584,8.0,2.6
        T19,        T19,J.T. Poston,78,6.7,"3,155.5",473,8.0,.5
        T19,        T19,Wyndham Clark,65,6.7,"1,083.7",162,8.1,1.0
        T19,        T19,Adam Hadwin,65,6.7,"3,268.5",489,8.1,1.1
        T19,        T19,Troy Merritt,72,6.7,"2,985.7",445,8.2,.7
        T19,        T19,Michael Gligic,52,6.7,933.5,139,7.9,2.3
        T19,        T19,Kevin Chappell,41,6.7,908.1,135,8.1,3.6
        T19,        T19,Jason Kokrak,62,6.7,"2,707.1",402,8.5,.7
        T19,        T19,Zack Sucher,38,6.7,"1,182.2",177,8.2,2.1
        T19,        T19,Beau Hossler,71,6.7,"2,460.0",369,8.2,2.3
        T19,        T19,Mackenzie Hughe,70,6.7,"1,697.4",253,8.3,1.2
        T19,        T19,Joseph Bramlett,57,6.7,676.6,101,7.8,3.8
        T19,        T19,Bill Haa,46,6.7,786.0,117,8.2,1.5
        T19,        T19,Alex Noren,60,6.7,"2,441.4",367,8.7,1.5
        T19,        T19,Kevin Streelman,73,6.7,"3,116.5",468,8.1,.6
        T19,        T19,Ryan Brehm,52,6.7,"1,173.4",176,8.3,2.0
        T38,        T37,Matt Every,47,6.6,911.3,138,7.9,2.9
        T38,        T37,Sung Kang,73,6.6,"1,299.6",197,8.4,1.6
        T38,        T37,Webb Simpson,52,6.6,"2,590.0",391,8.2,.7
        T38,        T37,Brendan Steele,68,6.6,"2,237.8",338,8.4,3.0
        T38,        T37,Martin Laird,39,6.6,671.1,102,7.7,3.4
        T38,        T37,Luke List,69,6.6,"1,286.9",196,8.2,2.6
        T38,        T37,Nick Taylor,59,6.6,"2,333.0",356,8.2,1.2
        T38,        T37,Phil Mickelson,51,6.6,858.0,130,8.2,1.9
        T38,        T37,Bo Van Pelt,45,6.6,"1,748.0",265,8.1,.8
        T38,        T37,Byeong Hun An,75,6.6,"3,401.1",514,8.1,.6
        T38,        T37,Bud Cauley,65,6.6,"2,890.2",440,8.0,2.5
        T38,        T37,Danny Willett,40,6.6,783.0,118,8.0,2.6
        T38,        T37,Dylan Frittelli,82,6.6,"1,574.9",237,8.5,1.0
        T38,        T37,Rhein Gibson,54,6.6,714.2,109,8.2,.5
        T38,        T37,Chris Baker,53,6.6,846.8,128,7.8,2.4
        T38,        T37,Aaron Wise,49,6.6,743.5,113,8.2,3.6
        T38,        T37,Ben Taylor,44,6.6,604.1,92,7.8,2.8
        T38,        T37,Will Gordon,36,6.6,472.8,72,7.9,3.7
        T38,        T37,Jon Rahm,58,6.6,"1,423.0",215,8.2,2.8
        T38,        T37,Sam Burn,60,6.6,"2,742.5",418,8.1,2.2
        T38,        T37,Tyler McCumber,57,6.6,"1,162.4",175,8.5,1.1
        T38,        T37,Corey Conner,74,6.6,"1,360.9",205,8.1,2.8
        T38,        T37,Dominic Bozzelli,38,6.6,970.5,147,8.0,2.4
        T38,        T37,Sam Ryder,74,6.6,"1,336.6",203,7.9,1.5
        T62,        T65,Matthew NeSmith,72,6.5,"1,106.3",170,8.0,3.2
        T62,        T65,Patrick Rodger,95,6.5,"1,733.9",265,8.5,1.7
        T62,        T65,Kris Ventura,48,6.5,890.8,138,8.2,1.7
        T62,        T65,Sungjae Im,94,6.5,"4,277.2",655,8.0,1.4
        T62,        T65,Scottie Scheffler,82,6.5,"1,737.4",268,7.9,.6
        T62,        T65,Austin Cook,64,6.5,"2,476.5",379,8.0,1.5
        T62,        T65,Hank Lebioda,57,6.5,928.2,142,8.0,2.7
        T62,        T65,Doc Redman,82,6.5,"1,663.6",254,8.0,2.0
        T62,        T65,Matt Wallace,44,6.5,"2,275.3",351,8.2,1.2
        T62,        T65,Collin Morikawa,80,6.5,"1,613.7",249,8.0,1.3
        T62,        T65,Vincent Whaley,40,6.5,976.7,150,8.0,2.5
        T62,        T65,Cameron Champ,70,6.5,"1,356.6",208,8.5,.5
        T62,        T65,Mark Anderson,51,6.5,700.4,108,7.6,.7
        T62,        T65,Emiliano Grillo,69,6.5,"1,077.4",167,8.2,2.2
        T62,        T65,Michael Thompson,62,6.5,"1,504.8",230,7.9,1.5
        T62,        T37,Harris English,76,6.5,"1,690.8",259,8.0,.6
        T62,        T65,Harry Higg,83,6.5,"1,755.6",269,8.2,1.1
        T62,        T65,Ben Martin,38,6.5,768.6,118,7.4,3.0
        T62,        T65,Peter Malnati,61,6.5,"2,525.1",388,7.9,2.1
        T62,        T65,Chesson Hadley,62,6.5,913.8,140,8.0,3.1
        T62,        T65,Ryan Palmer,68,6.5,"1,422.9",220,7.8,1.6
        T62,        T65,Vaughn Taylor,61,6.5,"1,940.0",297,7.9,1.5
        T62,        T65,Justin Rose,38,6.5,"1,903.7",291,8.3,2.7
        T62,        T65,Stewart Cink,51,6.5,"1,191.0",182,7.8,2.4
        T62,        T65,Jhonattan Vega,52,6.5,"1,404.2",215,8.4,2.5
