PLAYER,LAUNCH_ANGLE_ROUNDS,LAUNCH_ANGLE_AVG,TOTAL VERT. LAUNCH ANGLE,LAUNCH_ANGLE_TOTAL ATTEMPTS,LOWEST LAUNCH ANGLE,STEEPEST LAUNCH ANGLE
James Hahn,36,13.91,"2,378.09",171,9.85,16.89
Adam Long,88,13.90,"3,599.32",259,8.97,18.24
Danny Lee,69,13.29,"2,843.24",214,3.19,18.49
Vaughn Taylor,61,13.13,"3,899.95",297,8.55,16.48
Jason Kokrak,62,12.82,"5,152.82",402,5.79,18.41
Austin Cook,64,12.71,"4,816.86",379,7.24,17.39
Rory McIlroy,60,12.65,"2,631.96",208,4.50,18.51
Keegan Bradley,68,12.62,"2,283.85",181,9.00,16.12
J.J. Spaun,62,12.56,"2,034.93",162,8.05,16.98
Sung Kang,73,12.55,"2,472.54",197,5.92,18.85
Doug Ghim,44,12.54,"1,166.31",93,7.69,15.88
Danny Willett,40,12.53,"1,478.28",118,7.43,15.90
David Hearn,55,12.51,"1,700.83",136,7.69,16.03
Jimmy Walker,46,12.38,"3,454.16",279,3.55,16.42
Kevin Chappell,41,12.33,"1,664.10",135,7.01,15.97
Bryson DeChambeau,62,12.32,"4,422.86",359,6.07,17.46
Harold Varner III,74,12.28,"5,488.79",447,-.08,16.43
Chez Reavie,77,12.19,"5,606.19",460,6.87,15.89
Aaron Wise,49,12.15,"1,372.42",113,7.32,15.02
Wes Roach,42,12.10,"1,633.37",135,7.24,16.70
Byeong Hun An,75,12.08,"6,206.95",514,4.61,18.06
Troy Merritt,72,12.05,"5,361.58",445,7.21,16.18
Nick Taylor,59,12.03,"4,282.28",356,6.52,16.82
Viktor Hovland,74,12.01,"7,015.74",584,7.18,16.27
Collin Morikawa,80,11.97,"2,980.47",249,6.77,15.26
Tim Wilkinson,50,11.96,"2,882.84",241,3.37,16.77
Cameron Percy,49,11.96,"2,571.81",215,6.78,16.06
Zach Johnson,61,11.90,"4,344.06",365,7.11,15.38
Brian Harman,78,11.89,"7,133.44",600,6.60,16.57
Bronson Burgoon,55,11.86,"3,202.99",270,6.88,15.86
Phil Mickelson,51,11.86,"1,541.18",130,5.75,19.07
Billy Horschel,79,11.82,"2,824.22",239,6.30,17.44
Webb Simpson,52,11.82,"4,619.88",391,5.21,17.30
Matt Wallace,44,11.78,"4,135.30",351,5.58,20.00
Brian Gay,67,11.77,"2,496.27",212,7.69,15.60
Bo Van Pelt,45,11.77,"3,119.43",265,-3.35,15.66
Tommy Fleetwood,40,11.77,"1,388.41",118,7.26,15.31
Pat Perez,59,11.76,"3,585.33",305,7.47,16.24
Justin Rose,38,11.76,"3,422.16",291,2.57,17.47
Bud Cauley,65,11.71,"5,152.62",440,6.63,17.59
Sepp Straka,70,11.71,"2,436.60",208,5.94,15.52
Brendon Todd,86,11.59,"5,622.02",485,6.11,17.21
Brice Garnett,58,11.58,"1,841.81",159,7.26,16.46
Mark Anderson,51,11.55,"1,247.39",108,8.07,14.84
Nate Lashley,52,11.54,"3,463.42",300,6.57,15.36
Brandt Snedeker,53,11.54,"4,766.51",413,-9.92,15.71
Tyrrell Hatton,42,11.53,"1,741.08",151,6.63,15.12
Beau Hossler,71,11.50,"4,243.19",369,6.43,16.64
Zack Sucher,38,11.48,"2,031.69",177,7.16,16.26
Bill Haas,46,11.48,"1,343.03",117,6.18,15.51
Jon Rahm,58,11.46,"2,463.78",215,6.96,17.70
Arjun Atwal,35,11.45,973.45,85,7.04,14.79
Scott Piercy,66,11.44,"4,540.63",397,5.63,16.76
Robby Shelton,75,11.40,"2,496.55",219,6.22,15.57
Cameron Smith,64,11.36,"4,736.88",417,6.65,17.08
Zac Blair,70,11.35,"4,652.73",410,6.07,15.34
