PLAYER,LONGEST_DRIVES_ROUNDS,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
Justin Thomas,66,449,WGC-Mexico,4,2,240
Rickie Fowler,44,431,the Memorial,1,17,023
Bubba Watson,66,431,the Memorial,4,17,023
Sergio Garcia,44,429,the Memorial,4,17,023
Lanto Griffin,96,429,Sentry,1,7,656
Bryson DeChambeau,62,428,Travelers,2,10,503
Shane Lowry,44,417,the Memorial,1,17,023
Jon Rahm,58,415,Sentry,4,7,656
Cameron Champ,70,413,Sentry,1,7,656
Rory McIlroy,60,412,WGC-Mexico,3,10,240
Tony Finau,72,411,the Memorial,4,1,023
Sepp Straka,70,411,The Greenbrier,1,6,771
Charles Howell III,69,411,the Memorial,4,17,023
Byeong Hun An,75,410,WGC-Mexico,3,2,240
Ryan Brehm,52,409,Sony Open,2,16,006
Sung Kang,73,408,WGC-Mexico,2,12,240
Scottie Scheffler,82,407,WGC-Mexico,4,4,240
Joaquin Niemann,76,406,the Memorial,1,17,023
Louis Oosthuizen,48,404,WGC-Mexico,4,4,240
Jordan Spieth,62,402,WGC-Mexico,4,4,240
Scott Harrington,68,402,the Memorial,3,17,023
Ryan Fox,4,400,WGC-Mexico,1,2,240
Gary Woodland,62,400,Sentry,4,12,656
Brandon Hagy,50,400,The Greenbrier,2,17,771
Matthew Wolff,74,400,the Memorial,1,17,023
Adam Scott,38,400,WGC-Mexico,2,11,240
Wyndham Clark,65,399,the Memorial,2,17,023
Martin Trainer,48,397,Sentry,4,17,656
Paul Casey,56,397,Sentry,1,12,656
Hideki Matsuyama,74,396,WGC-Mexico,4,10,240
Joseph Bramlett,57,396,The Greenbrier,2,1,771
J.T. Poston,78,394,Wyndham,1,5,752
Phil Mickelson,51,394,Workday,1,17,893
Lee Westwood,10,393,WGC-Mexico,3,10,240
Dustin Johnson,49,393,WGC-Mexico,1,10,240
Benjamin Hebert,10,392,WGC-Mexico,4,11,240
Erik van Rooyen,34,391,the Memorial,4,17,023
Charl Schwartzel,34,391,the Memorial,1,17,023
Marc Leishman,61,390,the Memorial,3,17,023
Francesco Molinari,19,390,WGC-Mexico,3,10,240
Jason Kokrak,62,390,the Memorial,1,1,023
Billy Horschel,79,388,WGC-Mexico,1,2,240
Anirban Lahiri,35,388,Pebble Beach,1,3,005
Matthias Schwab,24,388,WGC-Mexico,1,4,240
Victor Perez,22,388,WGC-Mexico,3,2,240
Ryan Palmer,68,388,the Memorial,3,17,023
Jason Day,53,388,Pebble Beach,1,10,769
Roger Sloan,55,387,Workday,3,1,893
Tyler Duncan,83,387,the Memorial,4,17,023
Xander Schauffele,70,387,WGC-Mexico,4,11,240
Tom Lewis,34,386,The Greenbrier,1,6,771
Tyler McCumber,57,386,Rocket Mortgage,2,16,876
Sebastián Muñoz,84,386,the Memorial,4,17,023
Tommy Fleetwood,40,385,WGC-Mexico,4,11,240
Bo Hoag,71,385,the Memorial,4,17,023
Patrick Reed,74,385,WGC-Mexico,4,12,240
Max Homa,70,385,WGC-FedEx,2,7,513
Jarryd Dillas,2,385,Bermuda,2,2,765
Nate Lashley,52,384,Sentry,4,1,656
Justin Harding,8,384,WGC-Mexico,2,11,240
Haotong Li,14,384,the Memorial,2,1,023
Robert MacIntyre,16,384,WGC-Mexico,4,4,240
D.J. Trahan,49,384,The Greenbrier,2,6,771
Cameron Tringale,63,383,Honda Classic,1,12,734
Keith Mitchell,64,383,Sentry,4,12,656
Abraham Ancer,74,383,WGC-Mexico,3,11,240
Bernd Wiesberger,22,382,WGC-Mexico,4,10,240
Danny Lee,69,382,the Memorial,1,17,023
Kris Ventura,48,382,3M Open,1,6,883
Zander Lombard,8,382,WGC-Mexico,2,11,240
Matt Wallace,44,382,WGC-Mexico,2,12,240
Kyle Westmoreland,4,382,The Greenbrier,1,17,771
Luke List,69,382,the Memorial,4,13,023
Scott Piercy,66,381,Phoenix Open,4,18,510
Viktor Hovland,74,381,BMW Champ,1,2,896
Cameron Smith,64,380,WGC-Mexico,3,14,240
Lucas Herbert,10,380,WGC-Mexico,2,4,240
Corey Conners,74,380,WGC-Mexico,4,12,240
Chris Kirk,33,379,Sony Open,1,16,006
Brooks Koepka,40,379,the Memorial,1,13,023
Collin Morikawa,80,379,WGC-Mexico,2,10,240
Jimmy Walker,46,379,The Greenbrier,2,6,771
Ryan Armour,60,379,The Greenbrier,2,6,771
Rory Sabbatini,66,378,the Memorial,1,17,023
Bronson Burgoon,55,378,The Greenbrier,3,16,771
Carlos Ortiz,72,378,the Memorial,4,1,023
Patrick Cantlay,46,378,BMW Champ,1,2,896
Cam Davis,62,378,Sanderson Farms,1,18,746
Dylan Frittelli,82,377,the Memorial,1,1,023
Jorge Campillo,10,377,WGC-Mexico,4,12,240
Harold Varner III,74,377,The Greenbrier,3,6,771
Daniel Berger,64,377,BMW Champ,1,1,896
Kevin Streelman,73,377,Phoenix Open,2,15,510
Kevin Kisner,73,376,Sentry,1,12,656
Danny Willett,40,376,the Memorial,3,17,023
Joel Dahmen,79,376,the Memorial,1,13,023
Mackenzie Hughes,70,376,the Memorial,1,17,023
Matt Fitzpatrick,54,376,WGC-Mexico,4,11,240
Zach Murray,4,376,WGC-Mexico,4,11,240
Scott Hend,8,376,WGC-Mexico,4,11,240
Shugo Imahira,10,375,WGC-Mexico,3,11,240
