PLAYER,SMASH_FACTOR_ROUNDS,SMASH_FACTOR_AVG,TOTAL SMASH FACTOR,SMASH_FACTOR_TOTAL ATTEMPTS,HIGHEST VALUE,LOWEST VALUE
Ryan Armour,60,1.511,253.863,168,1.527,1.487
Hank Lebioda,57,1.511,206.971,137,1.522,1.482
Doug Ghim,44,1.510,131.334,87,1.520,1.471
Jordan Spieth,62,1.510,227.936,151,1.532,1.448
Robert Streb,54,1.509,134.308,89,1.523,1.452
Patrick Cantlay,46,1.509,211.243,140,1.524,1.456
Anirban Lahiri,35,1.509,101.136,67,1.521,1.490
Brian Stuard,83,1.509,347.140,230,1.532,1.479
Danny Willett,40,1.509,152.422,101,1.534,1.473
Cameron Percy,49,1.509,158.412,105,1.521,1.468
Jimmy Walker,46,1.509,179.581,119,1.520,1.472
Fabián Gómez,59,1.509,197.637,131,1.519,1.479
Denny McCarthy,81,1.509,307.801,204,1.520,1.438
Richy Werenski,60,1.509,271.617,180,1.521,1.480
Cameron Smith,64,1.508,272.880,181,1.528,1.478
Harold Varner III,74,1.508,300.127,199,1.520,1.462
Corey Conners,74,1.508,301.613,200,1.520,1.456
Ben Taylor,44,1.508,132.673,88,1.522,1.446
Webb Simpson,52,1.508,274.406,182,1.524,1.462
Bronson Burgoon,55,1.508,215.596,143,1.520,1.448
Josh Teater,43,1.508,150.775,100,1.525,1.451
Tommy Fleetwood,40,1.508,168.914,112,1.522,1.461
C.T. Pan,56,1.508,218.722,145,1.527,1.449
Harris English,76,1.508,384.527,255,1.523,1.473
Byeong Hun An,75,1.508,337.728,224,1.520,1.430
Zack Sucher,38,1.508,122.127,81,1.519,1.490
Justin Thomas,66,1.507,253.123,168,1.539,1.465
Joseph Bramlett,57,1.507,144.714,96,1.521,1.435
Brice Garnett,58,1.507,230.500,153,1.520,1.465
Rickie Fowler,44,1.507,209.485,139,1.520,1.434
Rafa Cabrera Bello,53,1.507,235.076,156,1.521,1.466
Lucas Glover,67,1.507,244.140,162,1.520,1.434
Sepp Straka,70,1.507,307.522,204,1.524,1.443
Sam Burns,60,1.506,284.676,189,1.528,1.415
Robby Shelton,75,1.506,323.713,215,1.520,1.435
Cam Davis,62,1.506,207.877,138,1.520,1.447
Matt Jones,76,1.506,307.147,204,1.533,1.417
Louis Oosthuizen,48,1.506,207.812,138,1.530,1.401
Jason Dufner,62,1.506,292.141,194,1.520,1.460
Ian Poulter,48,1.506,231.853,154,1.525,1.441
Mark Anderson,51,1.506,155.132,103,1.520,1.432
Russell Henley,67,1.506,325.316,216,1.525,1.436
Andrew Landry,63,1.506,332.872,221,1.524,1.476
Shane Lowry,44,1.505,189.677,126,1.520,1.358
Chesson Hadley,62,1.505,204.729,136,1.520,1.335
Dylan Frittelli,82,1.505,349.205,232,1.528,1.451
Paul Casey,56,1.505,233.256,155,1.531,1.439
Nate Lashley,52,1.505,200.217,133,1.520,1.473
Nick Watney,46,1.504,185.021,123,1.529,1.461
Joel Dahmen,79,1.504,335.433,223,1.520,1.448
Bud Cauley,65,1.504,305.361,203,1.522,1.392
Daniel Berger,64,1.504,320.426,213,1.528,1.459
Matt Wallace,44,1.504,212.033,141,1.520,1.390
Wyndham Clark,65,1.504,234.546,156,1.520,1.401
Austin Cook,64,1.503,273.610,182,1.520,1.416
Troy Merritt,72,1.503,277.966,185,1.519,1.447
Emiliano Grillo,69,1.503,243.481,162,1.520,1.447
Scott Piercy,66,1.503,233.012,155,1.535,1.352
Sung Kang,73,1.503,288.522,192,1.519,1.458
Nick Taylor,59,1.503,254.085,169,1.520,1.423
Jim Furyk,39,1.503,190.897,127,1.519,1.462
Charley Hoffman,63,1.502,262.892,175,1.520,1.400
D.J. Trahan,49,1.502,147.185,98,1.522,1.459
Chris Stroud,48,1.502,214.805,143,1.520,1.346
Matt Every,47,1.502,198.269,132,1.533,1.421
K.H. Lee,76,1.502,312.481,208,1.520,1.435
Adam Long,88,1.502,381.529,254,1.519,1.446
Sebastian Cappelen,55,1.502,189.250,126,1.519,1.446
Abraham Ancer,74,1.502,339.514,226,1.534,1.457
J.J. Spaun,62,1.501,237.159,158,1.519,1.422
Chase Seiffert,56,1.501,168.163,112,1.521,1.427
Wes Roach,42,1.501,103.579,69,1.520,1.435
Keegan Bradley,68,1.501,264.179,176,1.520,1.422
Carlos Ortiz,72,1.501,316.735,211,1.530,1.321
Roger Sloan,55,1.501,175.599,117,1.536,1.275
Adam Hadwin,65,1.500,307.517,205,1.532,1.435
Kyle Stanley,57,1.500,241.567,161,1.520,1.459
Rory McIlroy,60,1.500,283.578,189,1.520,1.454
Billy Horschel,79,1.500,347.947,232,1.519,1.445
Tim Wilkinson,50,1.500,147.042,98,1.525,1.454
David Hearn,55,1.500,187.560,125,1.520,1.430
Marc Leishman,61,1.500,213.064,142,1.518,1.388
